time,site_id,p_ac_kw,p_ac_ph1_kw,p_ac_ph2_kw,p_ac_ph3_kw,e_exported_kwh,e_imported_kwh,e_net_kwh,v_ph1_n_v,v_ph2_n_v,v_ph3_n_v,v_ph1_ph2_v,v_ph2_ph3_v,v_ph3_ph1_v,i_ph1_a,i_ph2_a,i_ph3_a,freq_hz,power_factor,power_factor_ph1,power_factor_ph2,power_factor_ph3,q_kvar,q_ph1_kvar,q_ph2_kvar,q_ph3_kvar,q_total_kvarh,quality
2025-01-07 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-07 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-07 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-07 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-07 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,183.47401038166663,,,,180.8000000000102,,,,,,,,,,,,,,,,,,,,,,0
2025-01-07 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1566.0374947500002,,,,1604.2999999999954,,,,,,,,,,,,,,,,,,,,,,0
2025-01-07 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,4959.6262074999995,,,,4940.899999999992,,,,,,,,,,,,,,,,,,,,,,0
2025-01-07 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,5928.731617499999,,,,5906.900000000007,,,,,,,,,,,,,,,,,,,,,,0
2025-01-07 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,6284.947439166667,,,,6359.899999999989,,,,,,,,,,,,,,,,,,,,,,0
2025-01-07 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,5408.193204166665,,,,5382.900000000003,,,,,,,,,,,,,,,,,,,,,,0
2025-01-07 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,3067.1911058333335,,,,3010.1000000000004,,,,,,,,,,,,,,,,,,,,,,0
2025-01-07 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,742.8617875000002,,,,754.1000000000056,,,,,,,,,,,,,,,,,,,,,,0
2025-01-07 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,18.435961949333333,,,,18.300000000001095,,,,,,,,,,,,,,,,,,,,,,0
2025-01-07 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-07 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-07 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-07 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-07 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-07 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-08 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-08 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-08 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-08 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-08 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-08 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-08 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-08 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-08 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-08 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,296.9846902966666,,,,294.39999999999964,,,,,,,,,,,,,,,,,,,,,,0
2025-01-08 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1554.2815583333338,,,,1552.0999999999967,,,,,,,,,,,,,,,,,,,,,,0
2025-01-08 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2145.545345833334,,,,2160.6999999999916,,,,,,,,,,,,,,,,,,,,,,0
2025-01-08 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1916.6232041666665,,,,1904.6000000000076,,,,,,,,,,,,,,,,,,,,,,0
2025-01-08 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1670.2734525,,,,1670.0999999999985,,,,,,,,,,,,,,,,,,,,,,0
2025-01-08 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2024.4147333333333,,,,2031.0000000000034,,,,,,,,,,,,,,,,,,,,,,0
2025-01-08 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1741.6715708333331,,,,1738.6999999999955,,,,,,,,,,,,,,,,,,,,,,0
2025-01-08 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,279.85239126249996,,,,280.2000000000098,,,,,,,,,,,,,,,,,,,,,,0
2025-01-08 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1.3666047773333332,,,,1.6999999999970918,,,,,,,,,,,,,,,,,,,,,,0
2025-01-08 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-08 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-08 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-08 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-08 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-08 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-09 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-09 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-09 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-09 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-09 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-09 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-09 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-09 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-09 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-09 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,284.8770016308333,,,,288.69999999999527,,,,,,,,,,,,,,,,,,,,,,0
2025-01-09 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2669.601455833333,,,,2684.000000000002,,,,,,,,,,,,,,,,,,,,,,0
2025-01-09 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,5082.2479933333325,,,,5060.599999999997,,,,,,,,,,,,,,,,,,,,,,0
2025-01-09 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,6285.383713333334,,,,6298.9,,,,,,,,,,,,,,,,,,,,,,0
2025-01-09 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,6397.621834166665,,,,6473.4000000000015,,,,,,,,,,,,,,,,,,,,,,0
2025-01-09 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,5500.958835,,,,5434.9000000000015,,,,,,,,,,,,,,,,,,,,,,0
2025-01-09 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,3243.8809583333336,,,,3237.199999999997,,,,,,,,,,,,,,,,,,,,,,0
2025-01-09 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,818.6578586666665,,,,813.6000000000022,,,,,,,,,,,,,,,,,,,,,,0
2025-01-09 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,28.578382918916663,,,,28.39999999999963,,,,,,,,,,,,,,,,,,,,,,0
2025-01-09 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0.008875000000000001,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-09 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-09 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-09 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-09 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-09 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-10 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-10 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-10 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-10 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-10 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-10 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-10 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-10 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-10 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0.24163713750000007,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-10 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,353.2195771141666,,,,358.60000000000224,,,,,,,,,,,,,,,,,,,,,,0
2025-01-10 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2146.007054,,,,2151.299999999998,,,,,,,,,,,,,,,,,,,,,,0
2025-01-10 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,4846.1216275,,,,4860.299999999997,,,,,,,,,,,,,,,,,,,,,,0
2025-01-10 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,6176.4669416666675,,,,6192.500000000007,,,,,,,,,,,,,,,,,,,,,,0
2025-01-10 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,7210.72365916667,,,,79362.30000000002,,,,,,,,,,,,,,,,,,,,,,0
2025-01-10 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,7129.579653833335,,,,39353.399999999994,,,,,,,,,,,,,,,,,,,,,,0
2025-01-10 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,4384.909091666666,,,,4190.499999999996,,,,,,,,,,,,,,,,,,,,,,0
2025-01-10 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1000.054307083333,,,,1472.8000000000138,,,,,,,,,,,,,,,,,,,,,,0
2025-01-10 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,38.32320157575,,,,39.499999999998174,,,,,,,,,,,,,,,,,,,,,,0
2025-01-10 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0.0057578125,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-10 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-10 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-10 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-10 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-10 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-11 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-11 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-11 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-11 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-11 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-11 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-11 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-11 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-11 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0.6273070866666666,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-11 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,269.33252951916666,,,,270.89999999999964,,,,,,,,,,,,,,,,,,,,,,0
2025-01-11 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2322.862855833334,,,,2286.200000000003,,,,,,,,,,,,,,,,,,,,,,0
2025-01-11 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,6598.464854999999,,,,6192.999999999998,,,,,,,,,,,,,,,,,,,,,,0
2025-01-11 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,8230.055220833334,,,,8381.300000000001,,,,,,,,,,,,,,,,,,,,,,0
2025-01-11 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,8631.383390833329,,,,8623.099999999997,,,,,,,,,,,,,,,,,,,,,,0
2025-01-11 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,7423.926980000001,,,,7440.800000000005,,,,,,,,,,,,,,,,,,,,,,0
2025-01-11 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2657.234239166667,,,,2774.3000000000047,,,,,,,,,,,,,,,,,,,,,,0
2025-01-11 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,931.1251602666666,,,,1036.7999999999902,,,,,,,,,,,,,,,,,,,,,,0
2025-01-11 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,57.77726623680001,,,,48.49999999998726,,,,,,,,,,,,,,,,,,,,,,0
2025-01-11 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0.0029921875,,,,0.200000000004366,,,,,,,,,,,,,,,,,,,,,,0
2025-01-11 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-11 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-11 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-11 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-11 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-12 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-12 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-12 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-12 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-12 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-12 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-12 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-12 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-12 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0.6577662166666668,,,,0.100000000000364,,,,,,,,,,,,,,,,,,,,,,0
2025-01-12 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,548.808586575,,,,515.2000000000008,,,,,,,,,,,,,,,,,,,,,,0
2025-01-12 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2875.2388745,,,,2645.200000000006,,,,,,,,,,,,,,,,,,,,,,0
2025-01-12 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,6533.126325833336,,,,6605.100000000002,,,,,,,,,,,,,,,,,,,,,,0
2025-01-12 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,8427.934816666666,,,,8505.5,,,,,,,,,,,,,,,,,,,,,,0
2025-01-12 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,8738.687469999997,,,,8941.9,,,,,,,,,,,,,,,,,,,,,,0
2025-01-12 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,7284.21636238095,,,,7536.400000000007,,,,,,,,,,,,,,,,,,,,,,0
2025-01-12 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,4167.485221666667,,,,3867.199999999999,,,,,,,,,,,,,,,,,,,,,,0
2025-01-12 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1516.682127416667,,,,1720.9999999999923,,,,,,,,,,,,,,,,,,,,,,0
2025-01-12 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,27.043895151964286,,,,33.79999999999745,,,,,,,,,,,,,,,,,,,,,,0
2025-01-12 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-12 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-12 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-12 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-12 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-12 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-13 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-13 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-13 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-13 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-13 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-13 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-13 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-13 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-13 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0.6689706149999998,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-13 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,532.5568139041666,,,,555.7000000000025,,,,,,,,,,,,,,,,,,,,,,0
2025-01-13 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,3878.609410833333,,,,3822.8000000000084,,,,,,,,,,,,,,,,,,,,,,0
2025-01-13 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,6082.970065,,,,6051.999999999992,,,,,,,,,,,,,,,,,,,,,,0
2025-01-13 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,8398.52385,,,,8325.9,,,,,,,,,,,,,,,,,,,,,,0
2025-01-13 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,8321.012934166665,,,,7774.200000000003,,,,,,,,,,,,,,,,,,,,,,0
2025-01-13 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,7868.533893333331,,,,8394.499999999985,,,,,,,,,,,,,,,,,,,,,,0
2025-01-13 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2285.831310833333,,,,2424.600000000013,,,,,,,,,,,,,,,,,,,,,,0
2025-01-13 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,664.0803037833334,,,,652.2000000000007,,,,,,,,,,,,,,,,,,,,,,0
2025-01-13 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,18.17472784914167,,,,12.199999999991636,,,,,,,,,,,,,,,,,,,,,,0
2025-01-13 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0.008234375,,,,0.29999999999563437,,,,,,,,,,,,,,,,,,,,,,0
2025-01-13 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-13 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-13 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-13 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-13 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-14 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-14 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-14 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-14 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-14 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-14 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-14 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-14 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-14 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2025-01-14 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,243.4768025065,,,,203.2000000000207,,,,,,,,,,,,,,,,,,,,,,0
2025-01-14 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1933.941001,,,,1771.0999999999945,,,,,,,,,,,,,,,,,,,,,,0
2025-01-14 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2543.2904249999997,,,,2576.199999999997,,,,,,,,,,,,,,,,,,,,,,0
2025-01-14 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2457.541374166667,,,,2377.1999999999935,,,,,,,,,,,,,,,,,,,,,,0
